command_id,category,purpose,real_world_example,output_type,template_type,kb_search_queries,estimated_lines,similar_commands,status
ghl-workflow,workflow,Interactive workflow designer with KB search,Create welcome email sequence,json,automation,"workflow automation, email sequences",300,ghl-workflow-trigger|ghl-workflow-action,done
ghl-lead-nurture,lead,Niche-specific lead nurturing automation,Generate SaaS lead nurture sequence,json,automation,"lead nurturing, niche sequences",400,ghl-email-sequence|ghl-workflow,done
ghl-appointment,sales,Appointment automation with smart reminders,Set up appointment reminders,json,automation,"appointment automation, no-show prevention",350,ghl-workflow|ghl-sms-automation,done
ghl-funnel,sales,High-converting sales funnel designer,Build webinar funnel,json,automation,"funnel building, lead capture",400,ghl-form|ghl-landing-page,done
ghl-form,lead,Form optimization with conversion psychology,Create lead capture form,json,automation,"form optimization, conversion",400,ghl-landing-page|ghl-funnel,done
ghl-landing-page,lead,Landing page designer with copywriting,Design sales page,json,automation,"landing pages, copywriting",400,ghl-form|ghl-funnel,done
ghl-workflow-trigger,workflow,Set up specific workflow triggers,Trigger on tag added,guide,guide,"workflow triggers, conditions",250,ghl-workflow|ghl-workflow-condition,not-started
ghl-workflow-action,workflow,Add workflow action nodes,Send email action,guide,guide,"workflow actions, automation",250,ghl-workflow|ghl-workflow-trigger,not-started
ghl-workflow-condition,workflow,Build conditional logic,If-else conditions,guide,guide,"conditional logic, branching",250,ghl-workflow|ghl-workflow-branch,not-started
ghl-workflow-delay,workflow,Set up delays and timing,Wait 3 days then send,guide,guide,"delays, timing, scheduling",200,ghl-workflow|ghl-workflow-action,not-started
ghl-workflow-branch,workflow,Create multi-path workflows,Route based on conditions,guide,guide,"workflow branching, routing",200,ghl-workflow|ghl-workflow-condition,not-started
ghl-workflow-loop,workflow,Repeat actions with conditions,Loop through contacts,guide,guide,"workflow loops, repetition",200,ghl-workflow|ghl-workflow-condition,not-started
ghl-workflow-test,workflow,Test workflow before launching,Validate workflow logic,guide,guide,"workflow testing, debugging",200,ghl-workflow|ghl-troubleshoot,not-started
ghl-workflow-pause,workflow,Pause and resume workflows,Stop automation temporarily,guide,guide,"workflow management, pausing",150,ghl-workflow|ghl-workflow-clone,not-started
ghl-workflow-clone,workflow,Duplicate existing workflows,Copy workflow to another client,guide,guide,"workflow cloning, duplication",150,ghl-workflow|ghl-workflow-pause,not-started
ghl-workflow-archive,workflow,Archive old workflows,Clean up inactive workflows,guide,guide,"workflow management, archiving",150,ghl-workflow|ghl-workflow-pause,not-started
